Recclass,Mass,Normalized,Final
"Iron, IIIE-an","58,400",241.6609195,15.5454469
"Iron, IIIF","501,995",708.5163371,26.61797019
"Iron, IVA","31,056,724",5572.856036,74.65156419
"Iron, IVA-an","443,920",666.2732172,25.81226873
"Iron, IVB","60,519,660",7779.438283,88.20112405
"Iron, ungrouped","47,663,959",6903.908968,83.08976452
Iron?,"2,250",47.4341649,6.88724654
K,23,4.806245936,2.1923152
K3,361,19,4.358898944
L,"107,201",327.414879,18.09460911
L3,"543,459",737.1964304,27.15136148
L3-4,"1,139",33.74907406,5.809395327
L3-5,"12,187",110.3947463,10.50689042
L3-6,"115,126",339.3014884,18.42013812
L3-7,122,11.05667219,3.325157469
L3.0,193,13.89280389,3.727305178
L3.0-3.7,50,7.078135348,2.660476526
L3.0-3.9,424,20.59368835,4.538026923
L3.1,"11,296",106.2834418,10.3093861
L3.2,"17,307",131.5555776,11.46976798
L3.2-3.5,352,18.75366631,4.330550347
L3.2-3.6,65,8.08084154,2.842682103
L3.3,"5,279",72.65789702,8.523960173
L3.3-3.5,5,2.213594362,1.487815298
L3.3-3.6,203,14.2583309,3.776020511
L3.3-3.7,15,3.924283374,1.980980407
L3.4,"12,524",111.9113488,10.57881604
L3.4-3.7,272,16.4924225,4.06108637
L3.5,"48,710",220.7041006,14.85611324
L3.5-3.7,150,12.22701926,3.496715496
L3.5-3.8,73,8.544003745,2.923012786
L3.5-3.9,326,18.04993075,4.248521007
L3.5-5,"5,590",74.76630257,8.646750983
L3.6,"84,251",290.2599869,17.03701813
L3.6-4,153,12.37739876,3.518152748
L3.7,"49,690",222.9132791,14.93028061
L3.7-3.9,"1,470",38.34057903,6.191976988
L3.7-4,31,5.60357029,2.367186155
L3.7-6,"6,100",78.10249676,8.837561698
L3.7/3.8,350,18.70828693,4.325307727
L3.8,"44,539",211.0433605,14.5273315
L3.8-5,691,26.28878088,5.127258612
L3.8-6,"3,063",55.34437641,7.439380109
L3.8-an,"14,040",118.4905059,10.88533444
L3.9,"36,138",190.098869,13.78763464
L3.9-5,32,5.65154846,2.377298564
